# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
128 128 1.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+00 5.000000000000000e-01 -2.051670238082775e+00 -1.745564575312553e+00 7.248714486015757e-01
128 128 1.000000000000000e+00 1.000000000000000e+00 2.010000000000000e+00 4.975124378109453e-01 -2.053219018402885e+00 -1.738219111143208e+00 7.443423493151992e-01
128 128 1.000000000000000e+00 1.000000000000000e+00 2.020000000000000e+00 4.950495049504952e-01 -2.054804833137851e+00 -1.730675217124072e+00 7.645668296476681e-01
128 128 1.000000000000000e+00 1.000000000000000e+00 2.029999999999999e+00 4.926108374384238e-01 -2.056428500382615e+00 -1.722925063641480e+00 7.856048389257314e-01
128 128 1.000000000000000e+00 1.000000000000000e+00 2.039999999999999e+00 4.901960784313728e-01 -2.058090870276826e+00 -1.714960184027858e+00 8.075240454920677e-01
128 128 1.000000000000000e+00 1.000000000000000e+00 2.049999999999999e+00 4.878048780487808e-01 -2.059792827855993e+00 -1.706771390716256e+00 8.304012149614816e-01
128 128 1.000000000000000e+00 1.000000000000000e+00 2.059999999999999e+00 4.854368932038838e-01 -2.061535296292030e+00 -1.698348676069132e+00 8.543239106463950e-01
128 128 1.000000000000000e+00 1.000000000000000e+00 2.069999999999999e+00 4.830917874396139e-01 -2.063319240596649e+00 -1.689681094209394e+00 8.793926109653666e-01
128 128 1.000000000000000e+00 1.000000000000000e+00 2.079999999999998e+00 4.807692307692312e-01 -2.065145671879209e+00 -1.680756619072496e+00 9.057233728860854e-01
128 128 1.000000000000000e+00 1.000000000000000e+00 2.089999999999998e+00 4.784688995215315e-01 -2.067015652274448e+00 -1.671561972377099e+00 9.334512195946456e-01
128 128 1.000000000000000e+00 1.000000000000000e+00 2.099999999999998e+00 4.761904761904767e-01 -2.068930300687097e+00 -1.662082413094371e+00 9.627345023406635e-01
128 128 1.000000000000000e+00 1.000000000000000e+00 2.109999999999998e+00 4.739336492891000e-01 -2.070890799543023e+00 -1.652301476998586e+00 9.937605932173559e-01
128 128 1.000000000000000e+00 1.000000000000000e+00 2.119999999999997e+00 4.716981132075477e-01 -2.072898402794809e+00 -1.642200650560059e+00 1.026753428015389e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.129999999999997e+00 4.694835680751180e-01 -2.074954445510924e+00 -1.631758957081903e+00 1.061983671039185e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.139999999999997e+00 4.672897196261689e-01 -2.077060355492972e+00 -1.620952423404966e+00 1.099782677742199e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.149999999999997e+00 4.651162790697682e-01 -2.079217667533016e+00 -1.609753380704378e+00 1.140562096326538e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.159999999999997e+00 4.629629629629637e-01 -2.081428041172420e+00 -1.598129529337784e+00 1.184842083406164e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.169999999999996e+00 4.608294930875584e-01 -2.083693283205997e+00 -1.586042658884983e+00 1.233293120984261e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.179999999999996e+00 4.587155963302760e-01 -2.086015376781506e+00 -1.573446847910584e+00 1.286800171760186e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.189999999999996e+00 4.566210045662109e-01 -2.088396519945491e+00 -1.560285847829221e+00 1.346565351600347e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.199999999999996e+00 4.545454545454554e-01 -2.090839178225250e+00 -1.546489123961373e+00 1.414281351458525e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.209999999999996e+00 4.524886877828063e-01 -2.093346159064350e+00 -1.531965541887625e+00 1.492446128748372e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.219999999999995e+00 4.504504504504514e-01 -2.095920722460555e+00 -1.516592567038451e+00 1.584987770699777e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.229999999999995e+00 4.484304932735436e-01 -2.098566756600555e+00 -1.500196131284702e+00 1.698601583095732e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.239999999999995e+00 4.464285714285725e-01 -2.101289079545894e+00 -1.482510862764963e+00 1.845416888286090e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.249999999999995e+00 4.444444444444455e-01 -2.104093978740083e+00 -1.463111314554457e+00 2.045141451713301e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.259999999999994e+00 4.424778761061958e-01 -2.106990013676093e+00 -1.441389606181003e+00 2.307532900301656e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.269999999999994e+00 4.405286343612346e-01 -2.109988107626596e+00 -1.417004086752139e+00 2.550487339569034e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.279999999999994e+00 4.385964912280713e-01 -2.113097677803817e+00 -1.391163898587467e+00 2.564753517830470e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.289999999999994e+00 4.366812227074248e-01 -2.116318693793868e+00 -1.366644925152112e+00 2.309796433414280e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.299999999999994e+00 4.347826086956534e-01 -2.119640417101721e+00 -1.345130406147218e+00 2.000841372479610e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.309999999999993e+00 4.329004329004341e-01 -2.123049449116546e+00 -1.326353876936256e+00 1.769403667775566e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.319999999999993e+00 4.310344827586219e-01 -2.126535362534323e+00 -1.309486597423549e+00 1.614152532383909e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.329999999999993e+00 4.291845493562245e-01 -2.130091020321962e+00 -1.293917343609857e+00 1.505372539645206e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.339999999999993e+00 4.273504273504287e-01 -2.133711380836112e+00 -1.279293444879608e+00 1.422630543249180e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.349999999999993e+00 4.255319148936184e-01 -2.137392593573685e+00 -1.265414287083595e+00 1.355190067554395e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.359999999999992e+00 4.237288135593234e-01 -2.141131510584280e+00 -1.252157024686834e+00 1.297614504479042e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.369999999999992e+00 4.219409282700436e-01 -2.144925437460551e+00 -1.239438878663312e+00 1.247012339623774e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.379999999999992e+00 4.201680672268922e-01 -2.148772000994675e+00 -1.227199181464720e+00 1.201708268718237e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.389999999999992e+00 4.184100418410057e-01 -2.152669072655627e+00 -1.215390638751497e+00 1.160637047501266e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.399999999999991e+00 4.166666666666681e-01 -2.156614719986656e+00 -1.203974802102829e+00 1.123063608974493e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.409999999999991e+00 4.149377593361011e-01 -2.160607173061451e+00 -1.192919521577136e+00 1.088447717841523e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.419999999999991e+00 4.132231404958693e-01 -2.164644799803181e+00 -1.182197383261158e+00 1.056373971257075e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.429999999999991e+00 4.115226337448575e-01 -2.168726086974679e+00 -1.171784674197606e+00 1.026512646111740e+00
128 128 1.000000000000000e+00 1.000000000000000e+00 2.439999999999991e+00 4.098360655737721e-01 -2.172849625060056e+00 -1.161660653182038e+00 9.985960031898194e-01
128 128 1.000000000000000e+00 1.000000000000000e+00 2.449999999999990e+00 4.081632653061241e-01 -2.177014095962894e+00 -1.151807012954933e+00 9.724029035124746e-01
128 128 1.000000000000000e+00 1.000000000000000e+00 2.459999999999990e+00 4.065040650406520e-01 -2.181218262823830e+00 -1.142207470134415e+00 9.477482376476813e-01
128 128 1.000000000000000e+00 1.000000000000000e+00 2.469999999999990e+00 4.048582995951434e-01 -2.185460961478571e+00 -1.132847444822823e+00 9.244753411116395e-01
128 128 1.000000000000000e+00 1.000000000000000e+00 2.479999999999990e+00 4.032258064516145e-01 -2.189741093212625e+00 -1.123713805596276e+00 9.024503741968123e-01
128 128 1.000000000000000e+00 1.000000000000000e+00 2.489999999999990e+00 4.016064257028129e-01 -2.194057618557908e+00 -1.114794663531045e+00 8.815580554760558e-01
128 128 1.000000000000000e+00 1.000000000000000e+00 2.499999999999989e+00 4.000000000000017e-01 -2.198409551937639e+00 -1.106079203803936e+00 8.616983617583889e-01
128 128 1.000000000000000e+00 1.000000000000000e+00 2.509999999999989e+00 3.984063745019937e-01 -2.202795957009686e+00 -1.097557546573027e+00 8.427839368655511e-01
128 128 1.000000000000000e+00 1.000000000000000e+00 2.519999999999989e+00 3.968253968253986e-01 -2.207215942590604e+00 -1.089220630992864e+00 8.247380312233590e-01
128 128 1.000000000000000e+00 1.000000000000000e+00 2.529999999999989e+00 3.952569169960492e-01 -2.211668659066663e+00 -1.081060117723633e+00 8.074928456431589e-01
128 128 1.000000000000000e+00 1.000000000000000e+00 2.539999999999988e+00 3.937007874015766e-01 -2.216153295216437e+00 -1.073068306376707e+00 7.909881871561010e-01
128 128 1.000000000000000e+00 1.000000000000000e+00 2.549999999999988e+00 3.921568627450999e-01 -2.220669075383752e+00 -1.065238065133937e+00 7.751703686353352e-01
128 128 1.000000000000000e+00 1.000000000000000e+00 2.559999999999988e+00 3.906250000000018e-01 -2.225215256950744e+00 -1.057562770371349e+00 7.599913008697703e-01
128 128 1.000000000000000e+00 1.000000000000000e+00 2.569999999999988e+00 3.891050583657606e-01 -2.229791128069596e+00 -1.050036254566941e+00 7.454077379914944e-01
128 128 1.000000000000000e+00 1.000000000000000e+00 2.579999999999988e+00 3.875968992248081e-01 -2.234396005618458e+00 -1.042652761115950e+00 7.313806461471104e-01
